subject_id,session_id,is_behavior_pass,session_type
807082,807082_2025-09-30,false,brainwide
807082,807082_2025-10-01,false,brainwide
807082,807082_2025-10-02,false,brainwide
810752,810752_2025-10-07,false,brainwide
810752,810752_2025-10-08,false,brainwide
810752,810752_2025-10-09,false,brainwide
810752,810752_2025-10-10,false,brainwide
814666,814666_2025-11-06,false,brainwide
814666,814666_2025-11-07,false,brainwide
814666,814666_2025-11-10,false,brainwide
814666,814666_2025-11-11,false,brainwide
814669,814669_2025-11-10,,
814669,814669_2025-11-11,,
814669,814669_2025-11-12,,
814669,814669_2025-11-13,,
822061,822061_2026-01-12,,
822061,822061_2026-01-13,,
822061,822061_2026-01-14,,
822061,822061_2026-01-15,,
822061,822061_2026-01-16,,
831994,831994_2025-12-15,false,brainwide
831994,831994_2025-12-16,false,brainwide
831994,831994_2025-12-17,false,brainwide
831994,831994_2025-12-18,false,brainwide
834408,834408_2025-12-17,,
834408,834408_2025-12-18,,
834408,834408_2025-12-19,,
834408,834408_2025-12-22,,
835598,835598_2026-02-23,,
835598,835598_2026-02-24,,
835598,835598_2026-02-25,,
835598,835598_2026-02-26,,
835598,835598_2026-02-27,,
836726,836726_2026-02-11,,
836726,836726_2026-02-12,,
836726,836726_2026-02-13,,
854390,854390_2026-04-22,,
